Service:Type,Service:Company,Service:Train number,Stop:Station code,Stop:Station name,Stop:Arrival time,Stop:Departure time,Stop:Planned platform
Intercity,NS,21461,HLM,Haarlem,,2025-03-01T02:01:00+01:00,1
Intercity,NS,21461,ASD,Amsterdam Centraal,2025-03-01T02:14:00+01:00,,7a
Nightjet,NS Int,420,NURNB,Nürnberg Hbf,,2025-03-01T02:01:00+01:00,
Nightjet,NS Int,420,WURZB,Würzburg Hbf,2025-03-01T02:30:00+01:00,2025-03-01T02:32:00+01:00,
Nightjet,NS Int,420,FFFM,Frankfurt (M) Hbf,2025-03-01T04:55:00+01:00,2025-03-01T05:00:00+01:00,
Nightjet,NS Int,420,HAMM,Hamm (Westf.),2025-03-01T06:28:00+01:00,2025-03-01T06:30:00+01:00,
Nightjet,NS Int,420,MUNST,Münster (Westf) Hbf,2025-03-01T06:51:00+01:00,2025-03-01T06:54:00+01:00,
Nightjet,NS Int,420,RHEINE,Rheine,2025-03-01T07:14:00+01:00,2025-03-01T07:19:00+01:00,
Nightjet,NS Int,420,BH,Bad Bentheim,2025-03-01T07:40:00+01:00,2025-03-01T07:41:00+01:00,
Nightjet,NS Int,420,DV,Deventer,2025-03-01T08:34:00+01:00,2025-03-01T08:37:00+01:00,4
Nightjet,NS Int,420,AMF,Amersfoort Centraal,2025-03-01T09:13:00+01:00,2025-03-01T09:16:00+01:00,6
Nightjet,NS Int,420,ASD,Amsterdam Centraal,2025-03-01T09:50:00+01:00,,13a
Intercity,NS,1410,RTD,Rotterdam Centraal,,2025-03-01T02:02:00+01:00,7
Intercity,NS,1410,DT,Delft,2025-03-01T02:14:00+01:00,2025-03-01T02:14:00+01:00,1
Intercity,NS,1410,GV,Den Haag HS,2025-03-01T02:21:00+01:00,2025-03-01T02:22:00+01:00,6
Intercity,NS,1410,LEDN,Leiden Centraal,2025-03-01T02:36:00+01:00,2025-03-01T02:40:00+01:00,5b
Intercity,NS,1410,SHL,Schiphol Airport,2025-03-01T02:56:00+01:00,2025-03-01T03:03:00+01:00,2-Jan
Intercity,NS,1410,ASD,Amsterdam Centraal,2025-03-01T03:17:00+01:00,2025-03-01T03:19:00+01:00,8a
Intercity,NS,1410,UT,Utrecht Centraal,2025-03-01T03:48:00+01:00,,15
Stopbus ipv trein,NS,927240,GV,Den Haag HS,,2025-03-01T02:05:00+01:00,
Stopbus ipv trein,NS,927240,GVC,Den Haag Centraal,2025-03-01T02:15:00+01:00,,
Intercity,NS,21436,NM,Nijmegen,,2025-03-01T02:12:00+01:00,1a
Intercity,NS,21436,EST,Elst,2025-03-01T02:19:00+01:00,2025-03-01T02:19:00+01:00,2
Intercity,NS,21436,AH,Arnhem Centraal,2025-03-01T02:28:00+01:00,2025-03-01T02:35:00+01:00,9
Intercity,NS,21436,ED,Ede-Wageningen,2025-03-01T02:46:00+01:00,2025-03-01T02:46:00+01:00,3
Intercity,NS,1413,UT,Utrecht Centraal,2025-03-01T03:08:00+01:00,2025-03-01T03:16:00+01:00,5
Intercity,NS,1413,ASD,Amsterdam Centraal,2025-03-01T03:44:00+01:00,2025-03-01T03:46:00+01:00,8a
Intercity,NS,1413,SHL,Schiphol Airport,2025-03-01T04:01:00+01:00,2025-03-01T04:05:00+01:00,6-May
Intercity,NS,1413,LEDN,Leiden Centraal,2025-03-01T04:21:00+01:00,2025-03-01T04:23:00+01:00,8b
Intercity,NS,1413,GV,Den Haag HS,2025-03-01T04:37:00+01:00,2025-03-01T04:38:00+01:00,4
Intercity,NS,1413,DT,Delft,2025-03-01T04:45:00+01:00,2025-03-01T04:45:00+01:00,4
Intercity,NS,1413,RTD,Rotterdam Centraal,2025-03-01T04:57:00+01:00,,7
Intercity,NS,1409,UT,Utrecht Centraal,,2025-03-01T02:16:00+01:00,5
Intercity,NS,1409,ASD,Amsterdam Centraal,2025-03-01T02:44:00+01:00,2025-03-01T02:46:00+01:00,8a
Intercity,NS,1409,SHL,Schiphol Airport,2025-03-01T03:01:00+01:00,2025-03-01T03:05:00+01:00,6-May
Intercity,NS,1409,LEDN,Leiden Centraal,2025-03-01T03:21:00+01:00,2025-03-01T03:23:00+01:00,8b
Intercity,NS,1409,GV,Den Haag HS,2025-03-01T03:37:00+01:00,2025-03-01T03:38:00+01:00,4
Intercity,NS,1409,DT,Delft,2025-03-01T03:45:00+01:00,2025-03-01T03:45:00+01:00,4
Intercity,NS,1409,RTD,Rotterdam Centraal,2025-03-01T03:57:00+01:00,,8
Intercity,NS,21442,UT,Utrecht Centraal,,2025-03-01T02:19:00+01:00,7
Intercity,NS,21442,AMF,Amersfoort Centraal,2025-03-01T02:33:00+01:00,,2
Intercity,NS,21472,ASD,Amsterdam Centraal,,2025-03-01T02:37:00+01:00,11a
Intercity,NS,21472,AMR,Alkmaar,2025-03-01T03:04:00+01:00,,4
Intercity,NS,21462,ASD,Amsterdam Centraal,,2025-03-01T02:46:00+01:00,7a
Intercity,NS,21462,HLM,Haarlem,2025-03-01T02:59:00+01:00,,6
Intercity,NS,21445,AMF,Amersfoort Centraal,,2025-03-01T02:56:00+01:00,2
Intercity,NS,21445,UT,Utrecht Centraal,2025-03-01T03:10:00+01:00,,9
Intercity,NS,1414,RTD,Rotterdam Centraal,,2025-03-01T03:03:00+01:00,8
Intercity,NS,1414,DT,Delft,2025-03-01T03:14:00+01:00,2025-03-01T03:14:00+01:00,2
